lon,lat,value,qc_reason
121.11,23.02,21.0,
121.14,23.02,24.8,
121.17,23.02,24.5,
121.2,23.02,24.9,
121.95,23.02,25.3,|R3_lon_low_coverage
121.98,23.02,25.6,|R3_lon_low_coverage
120.0,23.05,25.3,
120.03,23.05,25.3,
120.06,23.05,25.2,
120.09,23.05,25.2,
120.12,23.05,25.1,
120.15,23.05,25.1,
120.18,23.05,25.0,
120.21,23.05,24.8,
120.24,23.05,24.6,
120.27,23.05,24.6,
120.3,23.05,24.8,
120.33,23.05,24.8,
120.36,23.05,24.1,
120.39,23.05,20.6,
120.42,23.05,22.7,
120.45,23.05,22.2,
120.48,23.05,21.2,
120.51,23.05,19.0,
120.54,23.05,22.4,
120.57,23.05,18.6,
120.6,23.05,16.2,
120.63,23.05,15.4,
120.66,23.05,18.5,
120.69,23.05,14.2,
120.72,23.05,6.2,
120.75,23.05,-1.9,
120.78,23.05,2.3,
120.81,23.05,1.3,
120.84,23.05,5.9,
120.87,23.05,7.8,
120.9,23.05,11.5,
120.93,23.05,12.4,
120.96,23.05,14.4,
120.99,23.05,17.0,
121.02,23.05,22.7,
121.05,23.05,24.6,
121.08,23.05,24.1,
121.11,23.05,20.5,
121.14,23.05,23.8,
121.17,23.05,24.6,
121.2,23.05,23.8,
121.92,23.05,25.4,|R3_lon_low_coverage
121.95,23.05,25.7,|R3_lon_low_coverage
121.98,23.05,25.3,|R3_lon_low_coverage
120.0,23.08,25.3,
120.03,23.08,25.2,
120.06,23.08,25.2,
120.09,23.08,25.2,
120.12,23.08,24.6,
120.15,23.08,25.1,
120.18,23.08,25.0,
120.21,23.08,24.9,
120.24,23.08,24.8,
120.27,23.08,24.8,
120.3,23.08,24.5,
120.33,23.08,24.4,
120.36,23.08,24.5,
120.39,23.08,24.1,
120.42,23.08,23.8,
120.45,23.08,20.8,
120.48,23.08,22.3,
120.51,23.08,19.1,
120.54,23.08,20.5,
120.57,23.08,22.3,
120.6,23.08,19.5,
120.63,23.08,14.3,
120.66,23.08,13.6,
120.69,23.08,6.9,
120.72,23.08,5.0,
120.75,23.08,3.5,
120.78,23.08,3.6,
120.81,23.08,7.3,
120.84,23.08,9.6,
120.87,23.08,6.3,
120.9,23.08,7.9,
120.93,23.08,13.5,
120.96,23.08,12.0,
120.99,23.08,20.3,
121.02,23.08,19.8,
121.05,23.08,24.7,
121.08,23.08,24.5,
121.11,23.08,23.4,
121.14,23.08,22.0,
121.17,23.08,23.4,
121.2,23.08,21.0,
121.23,23.08,25.7,
121.95,23.08,25.4,|R3_lon_low_coverage
120.0,23.11,25.3,
120.03,23.11,25.3,
120.06,23.11,25.3,
120.09,23.11,25.3,
120.12,23.11,25.2,
120.15,23.11,25.1,
120.18,23.11,25.0,
120.21,23.11,24.9,
120.24,23.11,24.9,
120.27,23.11,24.9,
120.3,23.11,24.2,
