lon,lat,value,qc_reason,y_pred_oof,residual_oof
120.72,22.42,22.5,,26.71786571030628,-4.217865710306281
120.75,22.42,24.0,,24.09701666945003,-0.0970166694500314
120.78,22.42,26.0,,24.125064559570614,1.874935440429386
120.39,22.45,26.0,,26.568543987849644,-0.5685439878496439
120.42,22.45,26.1,,26.43702827245972,-0.3370282724597189
120.45,22.45,26.4,,26.453531130403416,-0.05353113040341739
120.48,22.45,26.7,,26.119482389235948,0.5805176107640513
120.51,22.45,26.5,,26.100393724546567,0.39960627545343286
120.54,22.45,22.4,,26.084724193363833,-3.6847241933638344
120.57,22.45,26.3,,26.173496213299934,0.12650378670006646
120.6,22.45,25.1,,26.298621464719176,-1.1986214647191744
120.63,22.45,19.6,,26.23147575736052,-6.631475757360519
120.66,22.45,19.2,,26.24253253755986,-7.042532537559861
120.69,22.45,24.5,,26.393270719672792,-1.8932707196727918
120.72,22.45,26.5,,26.42985724086524,0.07014275913476098
120.75,22.45,27.6,,23.322412711864622,4.277587288135379
120.78,22.45,28.3,,23.24352458031296,5.05647541968704
120.81,22.45,28.5,,24.272098780723507,4.227901219276493
120.33,22.48,25.3,,26.541067359183018,-1.2410673591830168
120.36,22.48,25.8,,26.54221999882678,-0.7422199988267799
120.39,22.48,25.8,,26.543356202125242,-0.7433562021252413
120.42,22.48,25.9,,26.114658330166584,-0.21465833016658564
120.45,22.48,26.1,,26.137048231265634,-0.037048231265632836
120.48,22.48,26.5,,26.07254781508882,0.42745218491117853
120.51,22.48,26.4,,26.079530272284607,0.3204697277153912
120.54,22.48,23.6,,26.060075789528856,-2.4600757895288545
120.57,22.48,19.8,,26.05749900106926,-6.2574990010692595
120.6,22.48,22.9,,25.937892091234943,-3.0378920912349443
120.63,22.48,18.2,,25.938088505205904,-7.738088505205905
120.66,22.48,19.6,,25.947494574743796,-6.347494574743795
120.69,22.48,18.3,,26.118967146649812,-7.818967146649811
120.72,22.48,23.0,,26.150335900496376,-3.1503359004963762
120.75,22.48,25.2,,22.750410425233987,2.449589574766012
120.78,22.48,27.3,,22.71985509757253,4.58014490242747
120.81,22.48,25.1,,23.61279463853437,1.4872053614656302
120.24,22.51,25.5,,26.289608352821674,-0.7896083528216735
120.27,22.51,25.7,,26.392136541728068,-0.6921365417280683
120.3,22.51,25.8,,26.39012124348517,-0.5901212434851679
120.33,22.51,25.8,,26.387278171076762,-0.5872781710767612
120.36,22.51,25.8,,26.383162990526237,-0.5831629905262368
120.39,22.51,25.8,,26.377074021436528,-0.5770740214365269
120.42,22.51,25.9,,26.034232911285507,-0.1342329112855083
120.45,22.51,25.9,,26.056896066876813,-0.1568960668768149
120.48,22.51,26.3,,25.960834732576743,0.33916526742325814
120.51,22.51,26.3,,25.968551399937216,0.3314486000627852
120.54,22.51,24.8,,26.044607438160497,-1.2446074381604966
120.57,22.51,25.0,,26.022271201352247,-1.0222712013522468
120.6,22.51,23.2,,25.473337986324065,-2.2733379863240657
120.63,22.51,12.8,,25.147219005022087,-12.347219005022087
120.66,22.51,18.2,,25.181437654165045,-6.981437654165045
120.69,22.51,20.7,,25.657554350845796,-4.957554350845797
120.72,22.51,24.7,,25.697648399289736,-0.9976483992897371
120.75,22.51,26.8,,22.699963881787003,4.100036118212998
120.78,22.51,27.1,,22.642991763171285,4.457008236828717
120.81,22.51,28.0,,23.196253188272813,4.803746811727187
120.24,22.54,25.5,,26.2598390495575,-0.7598390495574989
120.27,22.54,24.4,,26.178792292956942,-1.7787922929569433
120.3,22.54,25.7,,26.177180340131503,-0.477180340131504
120.33,22.54,26.3,,26.17496113458737,0.12503886541263043
120.36,22.54,25.8,,26.17184148901751,-0.371841489017509
120.39,22.54,25.8,,26.16745651686264,-0.3674565168626387
120.42,22.54,25.6,,25.985035140808414,-0.3850351408084123
120.45,22.54,26.0,,25.99877107014632,0.001228929853681393
120.48,22.54,26.2,,25.85623374139391,0.3437662586060881
120.51,22.54,25.7,,25.852103084896534,-0.15210308489653457
120.54,22.54,25.6,,25.913842827479534,-0.31384282747953307
120.57,22.54,24.6,,25.9167132668261,-1.316713266826099
120.6,22.54,18.8,,24.982643622011484,-6.182643622011483
120.63,22.54,12.8,,24.554331109202106,-11.754331109202106
120.66,22.54,20.4,,24.575956310116606,-4.175956310116607
120.69,22.54,22.3,,24.993107180516823,-2.6931071805168223
120.72,22.54,23.5,,24.956915436126913,-1.4569154361269128
120.75,22.54,22.6,,22.407903803945633,0.19209619605436856
120.78,22.54,23.6,,22.285895896752503,1.314104103247498
120.81,22.54,26.6,,22.4521227091016,4.1478772908984
120.84,22.54,26.1,,22.667697755542314,3.432302244457688
120.21,22.57,25.5,,26.069755575545635,-0.5697555755456349
120.24,22.57,25.5,,26.067748436208426,-0.5677484362084257
120.27,22.57,25.5,,25.975237021270473,-0.4752370212704733
120.3,22.57,25.5,,25.9744249898471,-0.47442498984710113
120.33,22.57,25.6,,25.97327477334411,-0.3732747733441073
120.36,22.57,25.7,,25.971536978355676,-0.2715369783556767
120.39,22.57,25.6,,25.96869115598724,-0.3686911559872392
120.42,22.57,25.7,,25.72539967466051,-0.025399674660508964
120.45,22.57,25.9,,25.737266839146653,0.162733160853346
120.48,22.57,26.0,,25.76307331888553,0.23692668111446835
120.51,22.57,26.4,,25.754637192541075,0.6453628074589233
120.54,22.57,25.2,,25.782708568716902,-0.5827085687169031
120.57,22.57,24.8,,25.78233337409017,-0.982333374090171
120.6,22.57,17.1,,24.377556712495586,-7.277556712495585
120.63,22.57,7.9,,23.489655915012126,-15.589655915012125
120.66,22.57,16.5,,23.504784162691905,-7.004784162691905
120.69,22.57,23.0,,23.91310636444264,-0.9131063644426405
120.72,22.57,24.6,,23.984976880346657,0.615023119653344
120.75,22.57,25.7,,21.96734482076777,3.7326551792322284
120.78,22.57,26.5,,21.725337979831114,4.774662020168886
120.81,22.57,25.2,,21.899820396435654,3.300179603564345
120.84,22.57,23.3,,21.9154719376153,1.3845280623846996
120.18,22.6,25.6,,25.860507302148623,-0.2605073021486213
120.21,22.6,25.5,,25.797272199763142,-0.29727219976314245
120.24,22.6,25.5,,25.79742019579872,-0.29742019579871837
120.27,22.6,25.4,,25.80344090878038,-0.4034409087803823
120.3,22.6,25.4,,25.8030637441465,-0.40306374414650037
120.33,22.6,25.5,,25.80251456743027,-0.3025145674302685
120.36,22.6,25.5,,25.80158658955321,-0.30158658955321016
120.39,22.6,25.6,,25.799634632225455,-0.19963463222545386
120.42,22.6,25.7,,25.555725422876645,0.14427457712335467
120.45,22.6,25.7,,25.54538165640752,0.15461834359247817
120.48,22.6,25.0,,25.66125746617214,-0.6612574661721418
120.51,22.6,26.3,,25.6552903542581,0.6447096457419015
120.54,22.6,22.1,,25.651414106805294,-3.551414106805293
120.57,22.6,22.3,,25.648731066776495,-3.3487310667764945
120.6,22.6,21.0,,23.647397832784318,-2.6473978327843177
120.63,22.6,10.2,,22.100150200691008,-11.900150200691009
120.66,22.6,16.1,,22.11891437328952,-6.018914373289519
120.69,22.6,22.5,,22.525493204394976,-0.025493204394976487
120.72,22.6,23.8,,22.504574048899517,1.2954259511004835
120.75,22.6,21.2,,20.76338022066231,0.4366197793376898
120.78,22.6,25.0,,20.497641770593415,4.502358229406585
120.81,22.6,26.0,,20.570024632268474,5.429975367731526
